"","Year","Month","civilian noninstitutional population","labor force participation rate","employment-population ratio","labor force","employment","unemployment","unemployment rate","num_days","workplace_0","workplace_1","workplace_2","workplace_3","workplace_blank","flag_0","flag_1","flag_blank","Case Count","Covid Deaths"
"1",2020,1,31101210,63,60.2,19588677,18708761,879916,4.5,31,31,0,0,0,0,0,0,31,798,0
"2",2020,2,31101089,63.5,60.7,19744468,18883605,860863,4.4,29,29,0,0,0,0,0,0,29,-353,2
"3",2020,3,31101801,62.2,58.3,19345586,18131557,1214029,6.3,31,12,4,0,15,0,0,0,12,17805,233
"4",2020,4,31220365,59.6,50.2,18608466,15668938,2939528,15.8,30,0,0,0,30,0,0,30,0,45458,2026
"5",2020,5,31222718,58.8,49.6,18353057,15470908,2882149,15.7,31,0,0,24,7,0,24,7,0,70986,2369
"6",2020,6,31228490,60.8,52.3,18999175,16344272,2654903,14,30,0,0,30,0,0,30,0,0,164744,2184
"7",2020,7,31236439,61.1,52.8,19098079,16481816,2616263,13.7,31,0,0,31,0,0,31,0,0,284058,3845
"8",2020,8,31224398,60.8,53.6,18984149,16742561,2241588,11.8,31,0,0,31,0,0,31,0,0,152006,3906
"9",2020,9,31212394,60.1,54.2,18755655,16901622,1854033,9.9,30,0,0,30,0,0,30,0,0,99287,2201
"10",2020,10,31202026,60.2,54.9,18783737,17126791,1656946,8.8,31,0,0,31,0,0,31,0,0,119381,1475
"11",2020,11,31189123,60.1,54.9,18739211,17112155,1627056,8.7,30,0,0,30,0,0,30,0,0,370347,2436
"12",2020,12,31171945,59.9,54.5,18658459,16997845,1660614,8.9,31,0,0,31,0,0,31,0,0,1155485,11860
"13",2021,1,31150776,59.9,54.4,18650939,16954448,1696491,9.1,31,0,0,31,0,0,31,0,0,858847,18664
"14",2021,2,31127640,60.6,55.3,18850429,17202343,1648086,8.7,28,0,0,28,0,0,28,0,0,175349,7693
"15",2021,3,31110436,60.7,55.5,18874348,17272751,1601597,8.5,31,0,0,31,0,0,31,0,0,75763,2441
"16",2021,4,31098231,60.6,55.6,18832094,17278686,1553408,8.2,30,0,0,30,0,0,30,0,0,60493,917
"17",2021,5,31085758,60.8,56.2,18897643,17471539,1426104,7.5,31,0,0,31,0,0,31,0,0,35588,610
"18",2021,6,31073537,61.1,56.1,18972732,17417055,1555677,8.2,30,16,0,14,0,0,0,0,16,31166,355
"19",2021,7,31063502,61.6,56.8,19132981,17648949,1484032,7.8,31,31,0,0,0,0,0,0,31,178611,552
"20",2021,8,31069529,61.3,56.8,19042878,17656170,1386708,7.3,31,31,0,0,0,0,0,0,31,357867,1609
"21",2021,9,31072677,61.4,57.6,19073348,17887697,1185651,6.2,30,30,0,0,0,0,0,0,30,242560,3190
"22",2021,10,31075721,61.5,57.9,19117770,17987618,1130152,5.9,31,17,14,0,0,0,0,0,17,176164,2807
"23",2021,11,31077628,61.7,58.4,19161920,18138816,1023104,5.3,30,0,30,0,0,0,0,30,0,144702,2360
"24",2021,12,31078974,61.4,58.3,19073440,18119698,953742,5,31,0,31,0,0,0,0,31,0,580838,1921
"25",2022,1,31078917,61.6,58.2,19157660,18089013,1068647,5.6,31,7,24,0,0,0,0,0,7,2549792,3843
"26",2022,2,31074445,62.1,59,19292418,18326670,965748,5,28,28,0,0,0,0,0,0,28,442687,5320
"27",2022,3,31074229,62.1,59.3,19307448,18439996,867452,4.5,31,29,2,0,0,0,0,0,29,102998,3081
"28",2022,4,31079118,61.5,59.1,19119845,18356291,763554,4,30,0,30,0,0,0,0,30,0,135172,1611
"29",2022,5,31085888,61.8,59.5,19196922,18495237,701685,3.7,31,0,31,0,0,0,0,31,0,346760,1115
"30",2022,6,31091865,61.6,59,19138557,18347579,790978,4.1,30,0,30,0,0,0,0,30,0,503965,1518
"31",2022,7,31099528,61.8,59.3,19233954,18444756,789198,4.1,31,0,31,0,0,0,0,31,0,502408,547
"32",2022,8,31102684,61.9,59.3,19237794,18450249,787545,4.1,31,0,31,0,0,0,0,31,0,307864,1353
"33",2022,9,31106495,62.1,59.8,19315502,18601773,713729,3.7,30,0,30,0,0,0,0,30,0,122218,928
"34",2022,10,31110145,62.2,59.7,19337188,18581080,756108,3.9,31,0,31,0,0,0,0,31,0,82405,890
"35",2022,11,31111080,62.2,59.7,19350057,18570441,779616,4,30,0,30,0,0,0,0,30,0,156836,752
"36",2022,12,31110628,62.2,59.7,19336344,18587660,748684,3.9,31,0,31,0,0,0,0,31,0,236516,948
