"","Year","Month","civilian noninstitutional population","labor force participation rate","employment-population ratio","labor force","employment","unemployment","unemployment rate","num_days","workplace_0","workplace_1","workplace_2","workplace_3","workplace_blank","flag_0","flag_1","flag_blank","Case Count","Covid Deaths"
"1",2020,1,8060860,61.2,58.7,4937043,4729774,207269,4.2,31,31,0,0,0,0,0,0,31,0,0
"2",2020,2,8060147,61.2,58.9,4932777,4747385,185392,3.8,29,29,0,0,0,0,0,0,29,0,0
"3",2020,3,8060244,60.8,57.9,4901861,4666223,235638,4.8,31,12,3,8,8,0,0,0,12,7613,259
"4",2020,4,8074942,56.1,43.4,4527224,3501905,1025319,22.6,30,0,0,7,23,0,0,30,0,33754,3532
"5",2020,5,8072928,60.3,48.4,4867943,3907978,959965,19.7,31,0,0,31,0,0,0,31,0,16024,1700
"6",2020,6,8072292,62.7,53.5,5058520,4318259,740261,14.6,30,0,26,4,0,0,0,30,0,13334,701
"7",2020,7,8072463,61.6,53.9,4974424,4349396,625028,12.6,31,0,0,31,0,0,30,1,0,19834,254
"8",2020,8,8072703,61.1,55.3,4932862,4465631,467231,9.5,31,0,0,31,0,0,0,31,0,22466,304
"9",2020,9,8072937,60.2,55.2,4861297,4455554,405743,8.3,30,0,6,24,0,0,6,24,0,24979,327
"10",2020,10,8073531,59.9,56,4835307,4517610,317697,6.6,31,0,31,0,0,0,31,0,0,59402,619
"11",2020,11,8073203,59.5,55.8,4803968,4503710,300258,6.3,30,0,17,13,0,0,17,13,0,191535,1863
"12",2020,12,8071625,58.5,54.3,4722878,4386044,336834,7.1,31,0,0,31,0,0,0,31,0,139647,3456
"13",2021,1,8068414,58.5,54.4,4722693,4387505,335188,7.1,31,0,0,31,0,0,0,31,0,81550,2510
"14",2021,2,8064688,58.7,54.7,4732794,4411938,320856,6.8,28,0,0,28,0,0,0,28,0,35420,984
"15",2021,3,8063261,58.9,55.1,4751789,4440084,311705,6.6,31,0,0,31,0,0,0,31,0,100794,614
"16",2021,4,8062987,58.7,55,4732194,4438011,294183,6.2,30,0,0,30,0,0,0,30,0,190115,1630
"17",2021,5,8063153,59.2,55.4,4771963,4469750,302213,6.3,31,0,0,31,0,0,0,31,0,55474,1623
"18",2021,6,8063504,59.7,55.7,4812192,4487797,324395,6.7,30,30,0,0,0,0,0,0,30,8078,623
"19",2021,7,8064447,60,56,4839826,4516546,323280,6.7,31,31,0,0,0,0,0,0,31,11087,189
"20",2021,8,8067052,59.9,56.2,4829152,4535185,293967,6.1,31,31,0,0,0,0,0,0,31,49237,359
"21",2021,9,8068437,59.4,56.3,4790529,4545825,244704,5.1,30,30,0,0,0,0,0,0,30,89721,808
"22",2021,10,8069479,59.3,56.7,4785966,4576099,209867,4.4,31,31,0,0,0,0,0,0,31,125039,1307
"23",2021,11,8070336,59.5,57.2,4798331,4614627,183704,3.8,30,30,0,0,0,0,0,0,30,199950,1737
"24",2021,12,8071127,59.3,56.9,4787222,4595373,191849,4,31,31,0,0,0,0,0,0,31,235224,3620
"25",2022,1,8071287,59.2,56.3,4779816,4541888,237928,5,31,31,0,0,0,0,0,0,31,548188,3244
"26",2022,2,8069830,59.5,56.6,4801422,4564792,236630,4.9,28,28,0,0,0,0,0,0,28,101934,2242
"27",2022,3,8070243,59.9,57.2,4833263,4617074,216189,4.5,31,31,0,0,0,0,0,0,31,27122,1157
"28",2022,4,8071918,59.5,57.1,4801789,4610350,191439,4,30,30,0,0,0,0,0,0,30,38425,340
"29",2022,5,8074557,60.1,57.6,4853063,4652628,200435,4.1,31,31,0,0,0,0,0,0,31,101885,355
"30",2022,6,8077119,60.4,57.7,4877537,4662409,215128,4.4,30,30,0,0,0,0,0,0,30,78600,561
"31",2022,7,8080194,60.4,57.7,4878546,4658947,219599,4.5,31,31,0,0,0,0,0,0,31,65881,510
"32",2022,8,8082600,60.4,57.8,4881928,4674159,207769,4.3,31,31,0,0,0,0,0,0,31,98047,610
"33",2022,9,8085090,59.9,57.6,4844442,4659275,185167,3.8,30,30,0,0,0,0,0,0,30,65808,586
"34",2022,10,8087588,59.8,57.5,4833488,4654267,179221,3.7,31,31,0,0,0,0,0,0,31,50009,626
"35",2022,11,8089205,59.7,57.5,4825413,4654968,170445,3.5,30,30,0,0,0,0,0,0,30,52267,835
"36",2022,12,8090506,59.6,57.3,4820879,4639707,181172,3.8,31,31,0,0,0,0,0,0,31,50211,682
