"","Year","Month","civilian noninstitutional population","labor force participation rate","employment-population ratio","labor force","employment","unemployment","unemployment rate","num_days","workplace_0","workplace_1","workplace_2","workplace_3","workplace_blank","flag_0","flag_1","flag_blank","Case Count","Covid Deaths"
"1",2020,1,3026479,60.7,58.7,1837718,1776693,61025,3.3,31,31,0,0,0,0,0,0,31,0,0
"2",2020,2,3027571,60.6,58.7,1835312,1777272,58040,3.2,29,29,0,0,0,0,0,0,29,0,0
"3",2020,3,3028964,60.2,58.1,1823643,1758507,65136,3.6,31,12,8,5,6,0,0,0,12,566,23
"4",2020,4,3032673,59.2,52,1793927,1576050,217877,12.1,30,0,0,7,23,0,0,30,0,3051,199
"5",2020,5,3034818,60.2,54.2,1827157,1644700,182457,10,31,0,17,14,0,0,17,14,0,2801,128
"6",2020,6,3037338,60.9,55.7,1848944,1691248,157696,8.5,30,0,30,0,0,0,0,30,0,7333,66
"7",2020,7,3039983,60.7,56.1,1846159,1705567,140592,7.6,31,0,31,0,0,0,8,23,0,22725,177
"8",2020,8,3042298,60.7,57,1847877,1734772,113105,6.1,31,0,31,0,0,0,0,31,0,22254,397
"9",2020,9,3044627,60.9,57.4,1854500,1746913,107587,5.8,30,0,30,0,0,0,0,30,0,28467,323
"10",2020,10,3047285,61.2,58,1864265,1766453,97812,5.2,31,0,31,0,0,0,0,31,0,35565,656
"11",2020,11,3049591,61.2,58,1865824,1769633,96191,5.2,30,0,30,0,0,0,0,30,0,74981,1127
"12",2020,12,3051474,60.7,57.5,1850867,1756011,94856,5.1,31,0,31,0,0,0,0,31,0,93193,1789
"13",2021,1,3052864,60.5,57.3,1848353,1749947,98406,5.3,31,0,31,0,0,0,0,31,0,98536,2265
"14",2021,2,3053903,60.8,57.6,1856402,1760219,96183,5.2,28,0,28,0,0,0,0,28,0,35038,826
"15",2021,3,3055829,60.7,58,1855790,1773486,82304,4.4,31,0,31,0,0,0,0,31,0,13349,299
"16",2021,4,3058294,60.7,57.9,1855969,1770638,85331,4.6,30,0,30,0,0,0,0,30,0,9440,179
"17",2021,5,3060972,60.9,58.2,1865237,1782662,82575,4.4,31,0,31,0,0,0,28,3,0,4989,133
"18",2021,6,3063598,61.3,58.3,1878826,1785252,93574,5,30,0,30,0,0,0,30,0,0,5204,105
"19",2021,7,3066314,61,58.4,1870157,1791558,78599,4.2,31,0,31,0,0,0,31,0,0,17353,240
"20",2021,8,3068962,60.4,58.2,1854854,1785572,69282,3.7,31,0,31,0,0,0,31,0,0,55749,891
"21",2021,9,3071231,60.4,58.6,1856433,1799831,56602,3,30,0,30,0,0,0,30,0,0,79143,1174
"22",2021,10,3073562,60.5,58.7,1858633,1802729,55904,3,31,0,31,0,0,0,31,0,0,34947,771
"23",2021,11,3075753,60.7,59.1,1867196,1816601,50595,2.7,30,0,30,0,0,0,30,0,0,22828,83
"24",2021,12,3077865,60.3,58.8,1856195,1809945,46250,2.5,31,0,31,0,0,0,31,0,0,41426,0
"25",2022,1,3079873,60.7,58.7,1868352,1807993,60359,3.2,31,0,31,0,0,0,22,9,0,270411,1274
"26",2022,2,3081172,60.9,58.9,1875420,1815445,59975,3.2,28,0,28,0,0,0,0,28,0,42500,1363
"27",2022,3,3083209,61.3,59.6,1890267,1836414,53853,2.8,31,0,31,0,0,0,26,5,0,11999,895
"28",2022,4,3085831,60.6,59.1,1871136,1823208,47928,2.6,30,0,30,0,0,0,30,0,0,7134,432
"29",2022,5,3088866,61.2,59.4,1890935,1835066,55869,3,31,0,31,0,0,0,31,0,0,8867,235
"30",2022,6,3091708,61.4,59.3,1898045,1833899,64146,3.4,30,18,12,0,0,0,0,0,18,26501,95
"31",2022,7,3094629,61.2,59.3,1894342,1834955,59387,3.1,31,16,15,0,0,0,0,0,16,48436,107
"32",2022,8,3098124,60.9,58.9,1888196,1825266,62930,3.3,31,0,31,0,0,0,31,0,0,49229,392
"33",2022,9,3101642,60.9,59.1,1890095,1833450,56645,3,30,0,30,0,0,0,30,0,0,24821,258
"34",2022,10,3105164,61,59.1,1894580,1835896,58684,3.1,31,0,31,0,0,0,31,0,0,9457,97
"35",2022,11,3108378,61,59.3,1896655,1842209,54446,2.9,30,0,30,0,0,0,30,0,0,6243,255
"36",2022,12,3111438,60.6,59,1886457,1836933,49524,2.6,31,0,31,0,0,0,31,0,0,39471,140
