"","Year","Month","civilian noninstitutional population","labor force participation rate","employment-population ratio","labor force","employment","unemployment","unemployment rate","num_days","workplace_0","workplace_1","workplace_2","workplace_3","workplace_blank","flag_0","flag_1","flag_blank","Case Count","Covid Deaths"
"1",2020,1,2394038,68.4,66.5,1636625,1592901,43724,2.7,31,31,0,0,0,0,0,0,31,0,0
"2",2020,2,2397938,68.7,66.9,1647150,1603261,43889,2.7,29,29,0,0,0,0,0,0,29,0,0
"3",2020,3,2402106,67.8,65.8,1629092,1580120,48972,3,31,12,17,2,0,0,0,0,12,887,4
"4",2020,4,2416336,67.1,60.5,1620406,1461402,159004,9.8,30,0,0,30,0,0,0,30,0,3789,42
"5",2020,5,2420495,67,61.8,1621441,1495633,125808,7.8,31,0,31,0,0,0,16,15,0,4660,62
"6",2020,6,2425042,67.8,63.3,1643147,1534112,109035,6.6,30,0,30,0,0,0,30,0,0,13036,64
"7",2020,7,2429799,67.7,63.7,1644769,1548540,96229,5.9,31,0,19,12,0,0,31,0,0,17860,131
"8",2020,8,2434991,68.1,64.8,1658077,1577617,80460,4.9,31,0,0,31,0,0,31,0,0,11883,104
"9",2020,9,2440183,68,65.1,1659826,1587955,71871,4.3,30,0,27,3,0,0,3,27,0,20965,53
"10",2020,10,2445475,68.3,65.8,1670324,1608853,61471,3.7,31,0,31,0,0,0,0,31,0,41700,144
"11",2020,11,2450642,68.3,65.9,1672747,1614435,58312,3.5,30,0,30,0,0,0,0,30,0,81022,267
"12",2020,12,2455429,67.8,65.5,1664915,1608498,56417,3.4,31,0,31,0,0,0,0,31,0,80930,400
"13",2021,1,2459719,67.6,65.2,1663841,1603365,60476,3.6,31,0,31,0,0,0,0,31,0,69892,396
"14",2021,2,2463941,67.9,65.5,1673584,1613044,60540,3.6,28,0,28,0,0,0,0,28,0,24611,268
"15",2021,3,2468836,67.8,65.6,1672867,1619116,53751,3.2,31,0,31,0,0,0,24,7,0,14406,192
"16",2021,4,2474106,67.6,65.6,1671643,1621829,49814,3,30,0,30,0,0,0,9,21,0,11682,75
"17",2021,5,2479430,67.6,65.8,1677079,1631599,45480,2.7,31,0,31,0,0,0,0,31,0,8704,99
"18",2021,6,2484807,67.9,65.8,1687776,1634840,52936,3.1,30,0,30,0,0,0,0,30,0,9112,70
"19",2021,7,2490361,68,66.1,1694325,1646957,47368,2.8,31,0,31,0,0,0,0,31,0,17328,80
"20",2021,8,2494710,67.9,66,1693316,1646405,46911,2.8,31,0,31,0,0,0,0,31,0,31955,183
"21",2021,9,2498668,67.8,66.4,1694056,1658620,35436,2.1,30,0,30,0,0,0,0,30,0,44072,298
"22",2021,10,2502558,67.9,66.6,1700327,1665555,34772,2,31,0,31,0,0,0,0,31,0,41388,276
"23",2021,11,2506373,68.4,67,1713342,1679121,34221,2,30,0,30,0,0,0,0,30,0,45919,320
"24",2021,12,2510202,68.1,66.8,1708310,1675599,32711,1.9,31,0,31,0,0,0,0,31,0,41191,259
"25",2022,1,2513760,68.2,66.5,1714694,1672151,42543,2.5,31,11,20,0,0,0,0,0,11,248531,331
"26",2022,2,2516964,68.6,66.9,1726744,1683435,43309,2.5,28,28,0,0,0,0,0,0,28,37329,293
"27",2022,3,2520771,68.8,67.2,1733281,1692761,40520,2.3,31,31,0,0,0,0,0,0,31,5070,303
"28",2022,4,2524991,68.3,66.8,1725736,1687732,38004,2.2,30,30,0,0,0,0,0,0,30,4331,33
"29",2022,5,2529443,68.7,67.2,1737045,1698528,38517,2.2,31,31,0,0,0,0,0,0,31,16726,30
"30",2022,6,2533842,68.9,67.1,1745004,1700126,44878,2.6,30,30,0,0,0,0,0,0,30,33916,57
"31",2022,7,2538443,68.8,67.2,1745923,1705323,40600,2.3,31,31,0,0,0,0,0,0,31,27397,66
"32",2022,8,2543077,68.9,67.1,1751602,1707261,44341,2.5,31,31,0,0,0,0,0,0,31,16520,68
"33",2022,9,2547721,68.8,67.4,1754010,1717247,36763,2.1,30,30,0,0,0,0,0,0,30,11604,53
"34",2022,10,2552377,68.9,67.4,1757974,1719080,38894,2.2,31,31,0,0,0,0,0,0,31,7056,40
"35",2022,11,2556823,69,67.4,1762976,1724111,38865,2.2,30,30,0,0,0,0,0,0,30,8578,28
"36",2022,12,2561178,68.8,67.3,1761651,1724331,37320,2.1,31,31,0,0,0,0,0,0,31,20778,98
