"","Year","Month","civilian noninstitutional population","labor force participation rate","employment-population ratio","labor force","employment","unemployment","unemployment rate","num_days","workplace_0","workplace_1","workplace_2","workplace_3","workplace_blank","flag_0","flag_1","flag_blank","Case Count","Covid Deaths"
"1",2020,1,6076848,65.4,62.6,3976945,3804311,172634,4.3,31,31,0,0,0,0,0,0,31,1,0
"2",2020,2,6082503,65.8,63.2,4004153,3846464,157689,3.9,29,29,0,0,0,0,0,0,29,6,1
"3",2020,3,6088663,65,61.3,3955072,3730785,224287,5.7,31,3,12,7,9,0,0,0,3,5655,221
"4",2020,4,6111357,65.7,55.2,4017001,3374444,642557,16,30,0,0,0,30,0,0,30,0,8664,591
"5",2020,5,6117093,64.6,55.7,3948644,3408489,540155,13.7,31,0,0,28,3,0,0,31,0,7368,305
"6",2020,6,6123563,64.4,57.1,3945829,3497020,448809,11.4,30,0,0,30,0,0,30,0,0,11128,212
"7",2020,7,6130878,64.3,57.5,3940825,3526850,413975,10.5,31,0,0,31,0,0,31,0,0,22979,231
"8",2020,8,6134198,63.8,58.4,3910626,3581556,329070,8.4,31,0,0,31,0,0,31,0,0,18826,350
"9",2020,9,6137417,63.4,58.6,3891028,3593843,297185,7.6,30,0,0,30,0,0,30,0,0,12896,211
"10",2020,10,6141052,63.5,59.3,3898803,3644138,254665,6.5,31,0,0,31,0,0,31,0,0,19976,243
"11",2020,11,6144056,63,59,3873162,3623223,249939,6.5,30,0,0,30,0,0,15,15,0,57476,395
"12",2020,12,6146099,63,58.7,3870911,3609314,261597,6.8,31,0,0,31,0,0,0,31,0,81777,336
"13",2021,1,6147140,63,58.6,3872698,3600283,272415,7,31,0,0,31,0,0,0,31,0,64845,1189
"14",2021,2,6147564,63.3,59.1,3891591,3632272,259319,6.7,28,0,0,28,0,0,0,28,0,28178,672
"15",2021,3,6149684,63.3,59.3,3890471,3649805,240666,6.2,31,0,31,0,0,0,0,31,0,24714,293
"16",2021,4,6152774,62.8,59.4,3863433,3657219,206214,5.3,30,0,30,0,0,0,0,30,0,38551,249
"17",2021,5,6156293,62.8,59.6,3866396,3669719,196677,5.1,31,0,31,0,0,0,0,31,0,32809,266
"18",2021,6,6159731,63.3,59.8,3900811,3684324,216487,5.5,30,1,29,0,0,0,0,0,1,15746,165
"19",2021,7,6163858,63.7,60.3,3924230,3717432,206798,5.3,31,31,0,0,0,0,0,0,31,21481,192
"20",2021,8,6169938,63.4,60.1,3909569,3710616,198953,5.1,31,31,0,0,0,0,0,0,31,89965,452
"21",2021,9,6175112,63.5,60.6,3918732,3740545,178187,4.5,30,30,0,0,0,0,0,0,30,94585,1152
"22",2021,10,6180301,63.4,60.8,3919498,3759766,159732,4.1,31,31,0,0,0,0,0,0,31,67809,902
"23",2021,11,6185185,63.3,60.9,3916455,3766006,150449,3.8,30,30,0,0,0,0,0,0,30,49030,675
"24",2021,12,6189983,63.2,60.8,3910601,3760471,150130,3.8,31,31,0,0,0,0,0,0,31,74610,550
"25",2022,1,6194368,63.6,60.6,3937188,3751542,185646,4.7,31,31,0,0,0,0,0,0,31,490668,923
"26",2022,2,6197560,64,61.2,3967866,3790597,177269,4.5,28,28,0,0,0,0,0,0,28,84247,1090
"27",2022,3,6202094,64.1,61.5,3978514,3812656,165858,4.2,31,31,0,0,0,0,0,0,31,30782,612
"28",2022,4,6207712,63.7,61.3,3951368,3805118,146250,3.7,30,30,0,0,0,0,0,0,30,43344,225
"29",2022,5,6214069,63.8,61.4,3967534,3818349,149185,3.8,31,31,0,0,0,0,0,0,31,75535,216
"30",2022,6,6220164,64.1,61.5,3986858,3825720,161138,4,30,30,0,0,0,0,0,0,30,85501,320
"31",2022,7,6226772,64.2,61.6,3995954,3836612,159342,4,31,31,0,0,0,0,0,0,31,70797,365
"32",2022,8,6232537,64.3,61.5,4010385,3830393,179992,4.5,31,31,0,0,0,0,0,0,31,57263,462
"33",2022,9,6238315,64.3,61.7,4011679,3850992,160687,4,30,30,0,0,0,0,0,0,30,28971,273
"34",2022,10,6244130,64.6,61.9,4032756,3863312,169444,4.2,31,31,0,0,0,0,0,0,31,22023,238
"35",2022,11,6249336,64.3,61.4,4016778,3839472,177306,4.4,30,30,0,0,0,0,0,0,30,21652,128
"36",2022,12,6254253,64.4,61.4,4027238,3843068,184170,4.6,31,31,0,0,0,0,0,0,31,23818,333
